"id","category","title","content","keywords"
"1","监督学习","什么是监督学习","监督学习是指利用带有标签的训练数据来学习一个从输入特征到输出标签的映射函数。训练集中每个样本都有已知的正确答案（标签），模型通过最小化预测值与真实标签之间的误差来学习。监督学习主要分为分类（输出离散类别）和回归（输出连续数值）两大任务。","监督学习,标签,分类,回归,映射函数"
"2","监督学习","分类与回归的区别","分类与回归都属于监督学习。分类的输出是离散的类别标签，例如判断邮件是否为垃圾邮件、图片属于哪一类；回归的输出是连续的数值，例如预测房价、气温。二者的本质区别在于目标变量的类型：分类是离散值，回归是连续值。评价指标也不同，分类常用准确率、F1，回归常用均方误差、R²。","分类,回归,离散,连续,目标变量"
"3","监督学习","线性回归原理","线性回归假设目标变量与特征之间存在线性关系，模型形式为 y = w·x + b。通过最小化损失函数（通常是均方误差 MSE）来求解权重 w 和偏置 b，常用最小二乘法或梯度下降法求解。线性回归简单、可解释性强，是最基础的回归算法。","线性回归,最小二乘法,均方误差,权重,偏置"
"4","监督学习","逻辑回归原理","逻辑回归虽然名字带回归，但实际是一种分类算法。它在线性回归的基础上套用 Sigmoid 函数，将输出映射到 0 到 1 之间表示概率，再根据阈值（通常 0.5）划分类别。损失函数采用对数损失（交叉熵），通过梯度下降优化。逻辑回归常用于二分类问题。","逻辑回归,Sigmoid,二分类,交叉熵,概率"
"5","监督学习","Sigmoid函数的作用","Sigmoid 函数表达式为 σ(z)=1/(1+e^(-z))，能把任意实数压缩到 (0,1) 区间，输出可解释为概率。它是逻辑回归的核心，也是早期神经网络常用的激活函数。缺点是在输入很大或很小时梯度接近 0，容易导致梯度消失。","Sigmoid,激活函数,概率,梯度消失,逻辑回归"
"6","监督学习","决策树原理","决策树是一种树形结构的分类与回归模型。它通过递归地选择最优特征对数据进行划分，每个内部节点表示一个特征判断，叶子节点表示最终的预测结果。常用的划分准则有信息增益（ID3）、信息增益率（C4.5）和基尼系数（CART）。决策树可解释性强但容易过拟合。","决策树,信息增益,基尼系数,CART,可解释性"
"7","监督学习","信息增益与基尼系数","信息增益基于信息熵，衡量某特征划分后数据不确定性减少的程度，ID3 算法据此选择特征；信息增益越大，特征越好。基尼系数衡量数据集的不纯度，基尼值越小越纯，CART 决策树使用基尼系数选择划分特征。二者都是衡量节点划分质量的指标。","信息增益,信息熵,基尼系数,不纯度,特征选择"
"8","监督学习","随机森林原理","随机森林是一种集成学习算法，由多棵决策树组成。它通过 Bagging（自助采样）从训练集有放回抽样生成多个子集训练不同的树，同时在每个节点随机选择部分特征进行划分。最终分类结果由所有树投票决定，回归则取平均。随机森林能有效降低过拟合、提高泛化能力。","随机森林,集成学习,Bagging,投票,过拟合"
"9","监督学习","支持向量机SVM原理","支持向量机（SVM）通过寻找一个最优超平面将不同类别的样本分开，使得两类样本到超平面的间隔（margin）最大化。距离超平面最近的样本称为支持向量。对于线性不可分的数据，SVM 通过核函数将数据映射到高维空间使其线性可分。SVM 在小样本、高维数据上表现优异。","SVM,超平面,间隔最大化,支持向量,核函数"
"10","监督学习","核函数的作用","核函数用于解决线性不可分问题。它可以在不显式计算高维映射的情况下，直接计算样本在高维空间的内积，把原本线性不可分的数据变得可分，这就是核技巧（Kernel Trick）。常用核函数有线性核、多项式核、高斯核（RBF）。RBF 核应用最广。","核函数,核技巧,RBF,高维映射,线性不可分"
"11","监督学习","KNN算法原理","K近邻（KNN）是一种基于实例的惰性学习算法。它没有显式的训练过程，预测时计算待测样本与所有训练样本的距离，选取最近的 K 个邻居，由这 K 个邻居的多数类别（分类）或平均值（回归）决定预测结果。K 值和距离度量（如欧氏距离）是关键超参数。","KNN,K近邻,惰性学习,欧氏距离,多数投票"
"12","监督学习","朴素贝叶斯原理","朴素贝叶斯是基于贝叶斯定理的分类算法，核心假设是各特征之间相互独立（即朴素假设）。它通过计算样本属于各类别的后验概率，取概率最大的类别作为预测结果。常见变体有高斯朴素贝叶斯、多项式朴素贝叶斯（适合文本）、伯努利朴素贝叶斯。优点是简单高效，适合高维文本分类。","朴素贝叶斯,贝叶斯定理,条件独立,后验概率,文本分类"
"13","监督学习","贝叶斯定理","贝叶斯定理描述了条件概率之间的关系：P(A|B) = P(B|A)·P(A) / P(B)。其中 P(A) 是先验概率，P(A|B) 是后验概率，P(B|A) 是似然。在分类中，它用于根据观测特征反推样本属于某类别的概率，是朴素贝叶斯算法的理论基础。","贝叶斯定理,先验概率,后验概率,似然,条件概率"
"14","监督学习","集成学习Bagging与Boosting","集成学习通过组合多个弱学习器得到更强的模型。Bagging（如随机森林）并行训练多个模型并投票/平均，主要降低方差；Boosting（如 AdaBoost、GBDT、XGBoost）串行训练，后一个模型重点关注前一个模型分错的样本，主要降低偏差。二者都能提升模型性能。","集成学习,Bagging,Boosting,弱学习器,方差偏差"
"15","监督学习","梯度提升树GBDT","GBDT（梯度提升决策树）是一种 Boosting 集成算法，它串行训练一系列决策树，每棵新树拟合前面所有树预测结果的残差（负梯度），逐步减小整体误差。GBDT 预测精度高，是 XGBoost、LightGBM 等高效实现的基础，广泛用于竞赛和工业界。","GBDT,梯度提升,Boosting,残差,XGBoost"
"16","监督学习","AdaBoost算法","AdaBoost（自适应提升）是经典的 Boosting 算法。它通过迭代训练弱分类器，每轮根据上一轮的分类错误调整样本权重，让分错的样本在下一轮获得更高关注，最后将所有弱分类器加权组合成强分类器。错误率低的弱分类器获得更高权重。","AdaBoost,自适应提升,样本权重,弱分类器,加权组合"
"17","监督学习","多分类问题处理策略","对于本身只支持二分类的算法（如 SVM、逻辑回归），处理多分类常用两种策略：一对多（One-vs-Rest，每个类别训练一个区分该类与其余类的分类器）和一对一（One-vs-One，每两个类别训练一个分类器再投票）。决策树、随机森林、朴素贝叶斯则天然支持多分类。","多分类,一对多,一对一,OvR,OvO"
"18","无监督学习","什么是无监督学习","无监督学习是指在没有标签的数据上进行学习，目标是发现数据内部的结构和规律。它不需要人工标注，常见任务包括聚类（将相似样本分组）、降维（压缩特征维度）和关联规则挖掘。与监督学习最大的区别是训练数据没有标签。","无监督学习,无标签,聚类,降维,数据结构"
"19","无监督学习","K-means聚类原理","K-means 是最经典的聚类算法。它需要预先指定簇数 K，随机初始化 K 个质心，然后迭代执行两步：①把每个样本分配到最近的质心所在簇；②重新计算每个簇的质心（均值）。重复直到质心不再变化或达到最大迭代次数。K-means 简单高效但对初始值和异常值敏感。","K-means,聚类,质心,簇,迭代"
"20","无监督学习","K-means如何选择K值","选择 K-means 的簇数 K 常用两种方法：肘部法则（Elbow Method）绘制不同 K 对应的簇内误差平方和 SSE，曲线拐点处即合适的 K；轮廓系数（Silhouette）衡量样本与本簇的紧密度和与其他簇的分离度，取值 -1 到 1，越大越好，选轮廓系数最高的 K。","K值选择,肘部法则,轮廓系数,SSE,簇数"
"21","无监督学习","层次聚类原理","层次聚类通过构建树状的层次结构对数据聚类，分为凝聚式（自底向上，每个样本先各成一簇，逐步合并最近的簇）和分裂式（自顶向下，逐步拆分）。簇间距离度量有最短距离、最长距离、平均距离、Ward 法等。结果可用树状图（dendrogram）展示，不需预先指定簇数。","层次聚类,凝聚式,树状图,簇间距离,Ward"
"22","无监督学习","DBSCAN原理","DBSCAN 是基于密度的聚类算法。它通过两个参数：邻域半径 eps 和最小点数 minPts，把高密度区域划分为簇。能发现任意形状的簇，并自动识别噪声点（离群点），不需预先指定簇数。对密度不均匀的数据效果较差，参数选择较敏感。","DBSCAN,密度聚类,eps,噪声点,任意形状"
"23","无监督学习","三种聚类算法对比","K-means 需指定簇数、只能发现球形簇、对异常值敏感但速度快；层次聚类不需指定簇数、可生成树状图、计算复杂度高不适合大数据；DBSCAN 不需指定簇数、能发现任意形状簇并识别噪声、但对参数 eps 和密度变化敏感。应根据数据形状、规模和是否含噪声选择。","聚类对比,K-means,层次聚类,DBSCAN,算法选择"
"24","无监督学习","聚类效果评估指标","聚类没有真实标签时常用内部指标：轮廓系数（兼顾簇内紧密和簇间分离，越大越好）、簇内误差平方和 SSE（越小越好）、Calinski-Harabasz 指数。若有真实标签可用外部指标：调整兰德系数 ARI、归一化互信息 NMI。轮廓系数是最常用的内部评估指标。","聚类评估,轮廓系数,SSE,ARI,NMI"
"25","无监督学习","异常检测方法","异常检测用于发现偏离正常模式的数据点。常见方法包括：基于统计的方法（如 3σ 原则、箱线图）、基于密度的 DBSCAN（噪声点即异常）、基于距离的 KNN、孤立森林（Isolation Forest）、One-Class SVM。在金融风控、欺诈检测中应用广泛。","异常检测,孤立森林,离群点,DBSCAN,风控"
"26","无监督学习","关联规则与Apriori","关联规则挖掘用于发现数据项之间的关联关系，典型应用是购物篮分析（啤酒与尿布）。Apriori 算法通过支持度（项集出现频率）、置信度（关联强度）、提升度筛选频繁项集和强关联规则。支持度衡量频繁程度，置信度衡量规则可靠性。","关联规则,Apriori,支持度,置信度,购物篮分析"
"27","模型评估","准确率Accuracy","准确率是分类正确的样本数占总样本数的比例，公式为 (TP+TN)/(TP+TN+FP+FN)。它是最直观的评价指标，但在类别不平衡时会失真——例如 99% 负样本时，全预测为负也有 99% 准确率，却毫无意义。此时应结合精确率、召回率等指标。","准确率,Accuracy,类别不平衡,评价指标,TP"
"28","模型评估","精确率Precision","精确率（查准率）表示模型预测为正的样本中真正为正的比例，公式为 TP/(TP+FP)。它关注预测为正的可靠性，适用于希望减少误报的场景，例如垃圾邮件识别——不希望把正常邮件误判为垃圾邮件。精确率越高，误报越少。","精确率,Precision,查准率,误报,TP"
"29","模型评估","召回率Recall","召回率（查全率）表示所有真正为正的样本中被正确预测出来的比例，公式为 TP/(TP+FN)。它关注是否漏掉正样本，适用于希望减少漏报的场景，例如疾病诊断、欺诈检测——宁可错杀不可放过。召回率越高，漏报越少。","召回率,Recall,查全率,漏报,FN"
"30","模型评估","精确率与召回率的权衡","精确率和召回率通常此消彼长，存在权衡（trade-off）。提高分类阈值会使精确率上升、召回率下降；降低阈值则相反。具体取舍取决于业务需求：欺诈检测、疾病筛查更看重召回率，而推荐、垃圾邮件过滤更看重精确率。F1 值是二者的综合平衡。","精确率召回率权衡,阈值,trade-off,业务需求,F1"
"31","模型评估","F1值","F1 值是精确率和召回率的调和平均数，公式为 F1 = 2·P·R/(P+R)。它综合考虑了精确率和召回率，只有二者都较高时 F1 才高，适用于类别不平衡的场景。F1 越接近 1 模型越好。还有加权的 Fβ 值可调整二者的相对重要性。","F1值,调和平均,精确率,召回率,不平衡"
"32","模型评估","混淆矩阵","混淆矩阵是评估分类模型的表格，行表示真实类别、列表示预测类别。二分类含四个元素：真正例 TP、真负例 TN、假正例 FP（误报）、假负例 FN（漏报）。准确率、精确率、召回率等指标都由混淆矩阵计算得出，能直观展示模型在各类别上的表现。","混淆矩阵,TP,TN,FP,FN"
"33","模型评估","ROC曲线","ROC 曲线以假正率 FPR 为横轴、真正率 TPR（即召回率）为纵轴，描绘不同分类阈值下模型的表现。曲线越靠近左上角模型越好。它不受类别不平衡影响，常用于比较不同模型的整体分类能力。对角线代表随机猜测。","ROC曲线,FPR,TPR,阈值,分类能力"
"34","模型评估","AUC值","AUC 是 ROC 曲线下的面积，取值 0 到 1，是衡量分类器整体性能的单一数值指标。AUC=0.5 表示随机猜测，AUC=1 表示完美分类，一般 0.7 以上为可接受，0.85 以上为良好。AUC 越大模型区分正负样本的能力越强，且对类别不平衡不敏感。","AUC,ROC,曲线下面积,分类性能,不平衡"
"35","模型评估","过拟合","过拟合是指模型在训练集上表现很好，但在测试集（新数据）上表现差，即泛化能力不足。原因是模型过于复杂、记住了训练数据的噪声。解决方法包括：增加训练数据、降低模型复杂度、正则化、Dropout、early stopping、交叉验证、集成学习等。","过拟合,泛化能力,模型复杂度,正则化,Dropout"
"36","模型评估","欠拟合","欠拟合是指模型在训练集和测试集上表现都差，即没能学到数据中的规律。原因是模型太简单或特征不足。解决方法包括：增加模型复杂度、增加特征、减少正则化强度、训练更长时间。欠拟合表现为高偏差，过拟合表现为高方差。","欠拟合,高偏差,模型简单,特征不足,训练不足"
"37","模型评估","偏差与方差","偏差（Bias）反映模型预测值与真实值的系统性偏离，偏差大说明模型欠拟合；方差（Variance）反映模型对训练数据扰动的敏感程度，方差大说明模型过拟合。理想模型需在偏差和方差之间权衡，即偏差-方差权衡（bias-variance tradeoff），使总误差最小。","偏差,方差,bias,variance,权衡"
"38","模型评估","交叉验证","交叉验证用于更可靠地评估模型泛化性能并充分利用数据。最常用的 K 折交叉验证把数据分成 K 份，轮流用 K-1 份训练、1 份验证，重复 K 次取平均结果。它能减少因数据划分带来的评估偏差，常与网格搜索结合用于调参。","交叉验证,K折,泛化性能,调参,验证集"
"39","模型评估","训练集验证集测试集","数据集通常划分为三部分：训练集用于训练模型参数；验证集用于调整超参数和模型选择；测试集用于最终评估模型的泛化能力，且只能使用一次。常见比例为 6:2:2 或 7:1.5:1.5。测试集绝不能参与训练或调参，否则评估结果会过于乐观。","训练集,验证集,测试集,数据划分,泛化"
"40","模型评估","网格搜索调参","网格搜索（GridSearchCV）是一种超参数调优方法，它穷举所有给定超参数组合，结合交叉验证评估每种组合的性能，选出最优组合。优点是全面、简单，缺点是组合多时计算量大。替代方法有随机搜索（RandomizedSearchCV）和贝叶斯优化。","网格搜索,GridSearchCV,超参数,调参,交叉验证"
"41","模型评估","正则化L1与L2","正则化通过在损失函数中加入惩罚项来抑制过拟合。L1 正则化（Lasso）惩罚权重绝对值之和，能产生稀疏解、起到特征选择作用；L2 正则化（Ridge）惩罚权重平方和，使权重趋于较小但不为零，更平滑。Elastic Net 结合二者。正则化系数越大约束越强。","正则化,L1,L2,Lasso,Ridge"
"42","模型评估","类别不平衡处理","类别不平衡指各类别样本数量差异悬殊（如欺诈检测中正样本极少）。处理方法包括：过采样（如 SMOTE 合成少数类样本）、欠采样（减少多数类样本）、调整类别权重、使用对不平衡敏感的评价指标（F1、AUC、召回率）。准确率在此场景下不可靠。","类别不平衡,SMOTE,过采样,欠采样,类别权重"
